Budget_initial,Source_financement,Estimation_ROI,Taille_marche,Demande_actuelle,Nombre_concurrents,Avantage_concurrentiel,Impact_social,Impact_environnemental,Conformite_normes,Prevision_rentabilite,Capacite_fonds,Score_faisabilite
50k-100k,Prêt bancaire,1-3 ans,National,Modérée,Aucun,Qualité,Autre,Polluant,Non,<1 an,Difficile,48
<50k,Fonds propres,<1 an,International,Modérée,Aucun,Prix,Aucun,Polluant,Non,1-3 ans,Difficile,69
<50k,Investisseur,>3 ans,Régional,Forte,Aucun,Innovation,Autre,Écologique,Non,>3 ans,Difficile,52
<50k,Fonds propres,<1 an,Local,Modérée,Aucun,Innovation,Aucun,Écologique,Non,>3 ans,Facile,92
>100k,Fonds propres,>3 ans,Local,Forte,>5,Aucun,Création emplois,Neutre,Oui,>3 ans,Facile,56
>100k,Fonds propres,<1 an,International,Faible,>5,Prix,Amélioration conditions de vie,Polluant,Oui,<1 an,Difficile,41
>100k,Autre,1-3 ans,Régional,Forte,Aucun,Innovation,Création emplois,Neutre,Oui,>3 ans,Facile,53
50k-100k,Prêt bancaire,>3 ans,National,Faible,<5,Prix,Autre,Écologique,Non,1-3 ans,Difficile,88
<50k,Prêt bancaire,1-3 ans,Local,Modérée,>5,Aucun,Amélioration conditions de vie,Neutre,Non,1-3 ans,Difficile,66
<50k,Fonds propres,>3 ans,International,Modérée,<5,Innovation,Autre,Polluant,Oui,1-3 ans,Facile,94
<50k,Autre,>3 ans,International,Forte,>5,Innovation,Création emplois,Polluant,Oui,<1 an,Difficile,48
>100k,Prêt bancaire,<1 an,Régional,Modérée,Aucun,Qualité,Création emplois,Neutre,Oui,<1 an,Difficile,87
50k-100k,Investisseur,1-3 ans,International,Forte,<5,Prix,Création emplois,Polluant,Oui,>3 ans,Facile,70
<50k,Autre,<1 an,Régional,Faible,>5,Qualité,Aucun,Écologique,Oui,1-3 ans,Facile,67
<50k,Investisseur,<1 an,International,Modérée,Aucun,Qualité,Autre,Écologique,Oui,>3 ans,Difficile,59
<50k,Investisseur,>3 ans,International,Modérée,<5,Innovation,Aucun,Écologique,Oui,<1 an,Difficile,81
<50k,Investisseur,1-3 ans,Local,Forte,>5,Qualité,Autre,Neutre,Non,1-3 ans,Difficile,75
<50k,Fonds propres,<1 an,International,Faible,Aucun,Prix,Aucun,Écologique,Oui,<1 an,Facile,86
<50k,Investisseur,1-3 ans,Régional,Forte,Aucun,Prix,Autre,Polluant,Non,<1 an,Difficile,57
>100k,Investisseur,>3 ans,Régional,Faible,Aucun,Innovation,Autre,Polluant,Non,1-3 ans,Facile,48
50k-100k,Investisseur,1-3 ans,Régional,Modérée,>5,Innovation,Aucun,Polluant,Oui,1-3 ans,Difficile,56
<50k,Fonds propres,1-3 ans,Régional,Modérée,<5,Qualité,Aucun,Neutre,Oui,<1 an,Facile,42
>100k,Prêt bancaire,>3 ans,Local,Faible,Aucun,Prix,Autre,Neutre,Oui,>3 ans,Difficile,52
50k-100k,Autre,1-3 ans,National,Modérée,>5,Innovation,Amélioration conditions de vie,Neutre,Oui,>3 ans,Difficile,48
50k-100k,Investisseur,1-3 ans,Local,Faible,Aucun,Prix,Création emplois,Polluant,Oui,<1 an,Facile,56
<50k,Autre,>3 ans,International,Modérée,<5,Aucun,Aucun,Neutre,Non,>3 ans,Difficile,32
>100k,Investisseur,>3 ans,International,Modérée,<5,Qualité,Aucun,Écologique,Non,<1 an,Facile,86
<50k,Prêt bancaire,>3 ans,National,Forte,<5,Innovation,Création emplois,Écologique,Oui,1-3 ans,Difficile,80
<50k,Fonds propres,<1 an,National,Forte,<5,Qualité,Autre,Polluant,Non,>3 ans,Difficile,86
<50k,Prêt bancaire,<1 an,Régional,Modérée,<5,Qualité,Amélioration conditions de vie,Polluant,Non,<1 an,Facile,92
50k-100k,Autre,<1 an,Régional,Modérée,>5,Qualité,Amélioration conditions de vie,Polluant,Oui,1-3 ans,Difficile,72
50k-100k,Prêt bancaire,<1 an,Local,Modérée,<5,Aucun,Aucun,Écologique,Non,1-3 ans,Difficile,43
<50k,Fonds propres,>3 ans,Local,Faible,>5,Innovation,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Facile,96
>100k,Fonds propres,<1 an,Local,Modérée,>5,Prix,Création emplois,Écologique,Non,>3 ans,Facile,94
>100k,Prêt bancaire,1-3 ans,National,Faible,>5,Aucun,Création emplois,Écologique,Non,>3 ans,Facile,67
<50k,Prêt bancaire,<1 an,Local,Faible,Aucun,Innovation,Amélioration conditions de vie,Neutre,Oui,<1 an,Facile,31
<50k,Autre,<1 an,National,Modérée,<5,Prix,Autre,Écologique,Oui,<1 an,Difficile,89
50k-100k,Fonds propres,>3 ans,Régional,Forte,>5,Prix,Création emplois,Écologique,Non,<1 an,Facile,53
50k-100k,Fonds propres,<1 an,International,Forte,>5,Prix,Autre,Polluant,Oui,>3 ans,Facile,96
>100k,Investisseur,>3 ans,National,Faible,Aucun,Prix,Création emplois,Écologique,Oui,<1 an,Difficile,63
>100k,Autre,1-3 ans,Régional,Modérée,<5,Qualité,Amélioration conditions de vie,Neutre,Non,1-3 ans,Difficile,92
>100k,Autre,>3 ans,Régional,Faible,<5,Innovation,Aucun,Polluant,Oui,>3 ans,Facile,50
50k-100k,Prêt bancaire,<1 an,Régional,Forte,>5,Qualité,Aucun,Neutre,Non,>3 ans,Difficile,63
<50k,Prêt bancaire,1-3 ans,National,Faible,<5,Prix,Autre,Polluant,Non,<1 an,Facile,52
>100k,Fonds propres,1-3 ans,Régional,Forte,>5,Innovation,Autre,Polluant,Oui,<1 an,Facile,41
>100k,Fonds propres,<1 an,International,Faible,<5,Aucun,Amélioration conditions de vie,Écologique,Oui,>3 ans,Difficile,86
<50k,Autre,<1 an,National,Faible,>5,Prix,Création emplois,Écologique,Oui,<1 an,Difficile,94
<50k,Autre,>3 ans,International,Modérée,>5,Innovation,Création emplois,Neutre,Oui,>3 ans,Facile,81
<50k,Fonds propres,<1 an,International,Modérée,<5,Qualité,Autre,Neutre,Non,<1 an,Facile,64
<50k,Prêt bancaire,>3 ans,International,Forte,>5,Prix,Amélioration conditions de vie,Polluant,Non,1-3 ans,Facile,84
<50k,Prêt bancaire,<1 an,Régional,Faible,<5,Innovation,Aucun,Neutre,Non,1-3 ans,Facile,41
<50k,Fonds propres,<1 an,Régional,Faible,<5,Innovation,Création emplois,Écologique,Oui,<1 an,Difficile,57
<50k,Investisseur,>3 ans,Régional,Faible,>5,Qualité,Aucun,Neutre,Oui,1-3 ans,Difficile,94
>100k,Fonds propres,>3 ans,Régional,Faible,Aucun,Innovation,Aucun,Neutre,Oui,<1 an,Facile,56
50k-100k,Fonds propres,1-3 ans,National,Forte,<5,Aucun,Aucun,Polluant,Non,>3 ans,Facile,88
>100k,Autre,1-3 ans,International,Forte,>5,Qualité,Création emplois,Polluant,Non,<1 an,Difficile,41
<50k,Investisseur,<1 an,Local,Modérée,<5,Innovation,Amélioration conditions de vie,Polluant,Non,>3 ans,Facile,65
>100k,Fonds propres,>3 ans,International,Faible,<5,Prix,Amélioration conditions de vie,Polluant,Oui,1-3 ans,Difficile,66
<50k,Fonds propres,<1 an,Local,Faible,Aucun,Innovation,Amélioration conditions de vie,Écologique,Non,1-3 ans,Facile,75
>100k,Investisseur,<1 an,National,Faible,<5,Qualité,Création emplois,Neutre,Non,<1 an,Difficile,97
50k-100k,Autre,>3 ans,Local,Modérée,<5,Innovation,Aucun,Écologique,Non,>3 ans,Difficile,46
50k-100k,Fonds propres,1-3 ans,National,Faible,>5,Qualité,Amélioration conditions de vie,Neutre,Non,1-3 ans,Facile,74
>100k,Fonds propres,1-3 ans,International,Modérée,>5,Aucun,Aucun,Neutre,Oui,1-3 ans,Difficile,55
>100k,Investisseur,<1 an,National,Forte,<5,Qualité,Aucun,Polluant,Non,<1 an,Facile,71
>100k,Fonds propres,>3 ans,Local,Faible,>5,Qualité,Création emplois,Polluant,Non,1-3 ans,Difficile,88
>100k,Fonds propres,1-3 ans,National,Faible,<5,Aucun,Autre,Neutre,Oui,>3 ans,Difficile,33
<50k,Fonds propres,<1 an,Local,Faible,<5,Qualité,Autre,Écologique,Non,<1 an,Difficile,53
<50k,Prêt bancaire,<1 an,Régional,Forte,>5,Qualité,Amélioration conditions de vie,Écologique,Oui,1-3 ans,Facile,100
>100k,Fonds propres,1-3 ans,Régional,Modérée,<5,Qualité,Aucun,Neutre,Oui,>3 ans,Difficile,47
50k-100k,Investisseur,1-3 ans,Régional,Modérée,>5,Innovation,Autre,Écologique,Non,>3 ans,Facile,75
>100k,Investisseur,<1 an,National,Modérée,>5,Prix,Autre,Neutre,Oui,>3 ans,Difficile,74
>100k,Prêt bancaire,<1 an,Régional,Modérée,Aucun,Prix,Amélioration conditions de vie,Polluant,Non,<1 an,Facile,88
>100k,Autre,1-3 ans,International,Forte,<5,Innovation,Autre,Neutre,Oui,<1 an,Facile,64
<50k,Autre,>3 ans,National,Forte,<5,Aucun,Aucun,Polluant,Non,<1 an,Facile,54
>100k,Prêt bancaire,1-3 ans,International,Faible,<5,Aucun,Aucun,Écologique,Oui,<1 an,Facile,80
>100k,Investisseur,<1 an,Local,Modérée,Aucun,Qualité,Amélioration conditions de vie,Neutre,Oui,>3 ans,Facile,60
<50k,Autre,<1 an,International,Modérée,>5,Qualité,Création emplois,Polluant,Oui,<1 an,Difficile,84
50k-100k,Autre,>3 ans,Régional,Faible,>5,Aucun,Autre,Neutre,Non,1-3 ans,Facile,85
